Dosis;PTV;Recto;Bufeta
3120;100;28,9783;43,3664
3126;100;28,8452;43,2441
3132;100;28,7041;43,1219
3138;100;28,5608;43,002
3144;100;28,4206;42,882
3150;100;28,2884;42,7624
3156;100;28,1662;42,6427
3162;100;28,0454;42,5241
3168;100;27,9254;42,4052
3174;100;27,8008;42,2872
3180;100;27,6735;42,1698
3186;100;27,5483;42,0517
3192;100;27,4168;41,9349
3198;100;27,2948;41,8175
3204;100;27,1515;41,6999
3210;100;27,0265;41,5818
3216;100;26,9031;41,4635
3222;100;26,7834;41,3472
3228;100;26,6561;41,232
3234;100;26,5329;41,1175
3240;100;26,4127;41,0024
3246;100;26,2952;40,8868
3252;100;26,17;40,7722
3258;100;26,0411;40,658
3264;100;25,9147;40,5448
3270;100;25,7816;40,4319
3276;100;25,6555;40,3189
3282;100;25,5331;40,2064
3288;100;25,4158;40,095
3294;100;25,2958;39,9838
3300;100;25,1812;39,8729
3306;100;25,0663;39,7622
3312;100;24,9593;39,652
3318;100;24,8491;39,5431
3324;100;24,7414;39,4334
3330;100;24,6349;39,3235
3336;100;24,5293;39,2137
3342;100;24,419;39,1039
3348;100;24,3044;38,9952
3354;100;24,1922;38,8871
3360;100;24,0822;38,7794
3366;100;23,9704;38,6725
3372;100;23,8567;38,5661
3378;100;23,7454;38,46
3384;100;23,6341;38,3538
3390;100;23,5221;38,2481
3396;100;23,4091;38,1428
3402;100;23,3031;38,0379
3408;100;23,1981;37,9336
3414;100;23,0898;37,8297
3420;100;22,9817;37,7262
3426;100;22,8731;37,6227
3432;100;22,7647;37,5194
3438;100;22,6569;37,4161
3444;100;22,5498;37,3126
3450;100;22,4416;37,209
3456;100;22,3343;37,1059
3462;100;22,229;37,0036
3468;100;22,119;36,9018
3474;100;22,0202;36,8007
3480;100;21,922;36,6999
3486;100;21,8182;36,5992
3492;100;21,7218;36,4987
3498;100;21,6236;36,3985
3504;100;21,5284;36,2984
3510;100;21,4365;36,1988
3516;100;21,3426;36,0993
3522;100;21,2434;36,0002
3528;100;21,1495;35,9016
3534;100;21,0517;35,8027
3540;100;20,9515;35,7037
3546;100;20,8486;35,6045
3552;100;20,7505;35,5055
3558;100;20,6509;35,4063
3564;100;20,549;35,3079
3570;100;20,446;35,2104
3576;100;20,3518;35,1136
3582;100;20,2545;35,0174
3588;100;20,1643;34,9218
3594;100;20,0779;34,8262
3600;100;19,989;34,7313
3606;100;19,8962;34,6369
3612;100;19,8089;34,5425
3618;100;19,722;34,4478
3624;100;19,6361;34,3528
3630;100;19,5502;34,258
3636;100;19,4604;34,1632
3642;100;19,3742;34,0685
3648;100;19,289;33,9741
3654;100;19,2025;33,8798
3660;100;19,1161;33,7856
3666;100;19,0273;33,6919
3672;100;18,9407;33,5985
3678;100;18,856;33,5061
3684;100;18,7703;33,4141
3690;100;18,6836;33,3222
3696;100;18,5971;33,2303
3702;100;18,5117;33,139
3708;100;18,4235;33,0479
3714;100;18,3337;32,9578
3720;100;18,2418;32,8678
3726;100;18,1457;32,7778
3732;100;18,0535;32,6878
3738;100;17,9688;32,5979
3744;100;17,8853;32,5089
3750;100;17,8023;32,4202
3756;100;17,7168;32,3316
3762;100;17,6308;32,2431
3768;100;17,5463;32,1549
3774;100;17,4667;32,0666
3780;100;17,383;31,9782
3786;100;17,2927;31,89
3792;100;17,2105;31,8019
3798;100;17,1283;31,7136
3804;100;17,0473;31,6253
3810;100;16,9697;31,5368
3816;100;16,8956;31,4483
3822;100;16,8223;31,3605
3828;100;16,7459;31,2734
3834;100;16,6687;31,1868
3840;100;16,5942;31,1004
3846;100;16,5199;31,0146
3852;100;16,4453;30,9288
3858;100;16,371;30,8431
3864;100;16,2969;30,7579
3870;100;16,2196;30,6731
3876;100;16,1401;30,5886
3882;100;16,0503;30,5043
3888;100;15,9717;30,4202
3894;100;15,8879;30,3362
3900;100;15,8102;30,2527
3906;100;15,729;30,1697
3912;100;15,654;30,0874
3918;100;15,5746;30,0047
3924;100;15,4978;29,9221
3930;100;15,4192;29,839
3936;100;15,3414;29,7558
3942;100;15,261;29,6725
3948;100;15,1841;29,5895
3954;100;15,1075;29,5064
3960;100;15,0307;29,423
3966;100;14,9571;29,3395
3972;100;14,8814;29,2559
3978;100;14,807;29,1727
3984;100;14,7358;29,0906
3990;100;14,6671;29,0091
3996;100;14,6007;28,9287
4002;100;14,5323;28,8492
4008;100;14,4628;28,7698
4014;100;14,3991;28,6902
4020;100;14,3355;28,6104
4026;100;14,2715;28,5303
4032;100;14,2044;28,4504
4038;100;14,1414;28,3706
4044;100;14,0789;28,291
4050;100;14,0118;28,2113
4056;100;13,9499;28,1313
4062;100;13,886;28,0516
4068;100;13,8188;27,9719
4074;100;13,7544;27,8929
4080;100;13,6798;27,8142
4086;100;13,6061;27,7358
4092;100;13,5365;27,6576
4098;100;13,4725;27,5796
4104;100;13,4069;27,5016
4110;100;13,3426;27,4234
4116;100;13,2716;27,3453
4122;100;13,207;27,2669
4128;100;13,1387;27,1891
4134;100;13,0727;27,1122
4140;100;13,0061;27,0355
4146;100;12,9296;26,9591
4152;100;12,8577;26,883
4158;100;12,7847;26,8067
4164;100;12,7077;26,7306
4170;100;12,6332;26,6546
4176;100;12,567;26,5784
4182;100;12,5064;26,5023
